"hotel_id","hbg_code","airport_code"
3784,"14917","LON"
3791,"13892","LON"
3796,"102239","LON"
3827,"42616","LON"
3857,"49375","LON"
3886,"6643","LON"
3894,"9244","LON"
3915,"7557","LON"
3947,"13888","LON"
3995,"65169","LON"
4288,"6611","LON"
4290,"6607","LON"
4354,"6565","LON"
4715,"36769","LON"
5308,"7549","LON"
5309,"6638","LON"
5312,"6554","LON"
5313,"6560","LON"
5314,"6550","LON"
5315,"6616","LON"
5316,"7566","LON"
5317,"7560","LON"
6037,"25859","LON"
7138,"84356","LON"
7335,"6553","LON"
7337,"179409","LON"
7392,"7568","LON"
7393,"7563","LON"
7396,"26120","LON"
7401,"179390","LON"
7414,"16233","LON"
7506,"17311","LON"
7643,"6639","LON"
7731,"6569","LON"
7759,"15176","LON"
7769,"14995","LON"
7770,"15178","LON"
8042,"8900","LON"
8623,"15147","LON"
8624,"17670","LON"
8703,"7570","LON"
8890,"6615","LON"
8903,"7542","LON"
9385,"15847","LON"
9393,"40388","LON"
9396,"6557","LON"
9757,"6622","LON"
9763,"37130","LON"
10010,"109733","LON"
10208,"6556","LON"
10253,"6634","LON"
10707,"316645","LON"
11561,"16108","LON"
12641,"13897","LON"
13533,"6558","LON"
13551,"7574","LON"
14001,"17412","LON"
14418,"7573","LON"
15825,"6610","LON"
16135,"6641","LON"
16136,"7564","LON"
16149,"7555","LON"
16151,"7561","LON"
16152,"6636","LON"
16156,"7565","LON"
16157,"6547","LON"
16159,"7544","LON"
16165,"7550","LON"
16167,"6573","LON"
16540,"71468","LON"
17000,"6653","LON"
17430,"8941","LON"
17434,"7571","LON"
17437,"17394","LON"
18400,"313351","LON"
19328,"35317","LON"
19746,"15894","LON"
1003250,"15798","LON"
1003261,"178431","LON"
1003262,"109733","LON"
1031026,"14141","LON"
1031105,"14170","LON"
1031428,"14985","LON"
1031627,"36707","LON"
1031938,"58694","LON"
1032298,"6609","LON"
1032483,"107908","LON"
1032537,"6548","LON"
1032697,"6612","LON"
1033916,"7572","LON"
1034071,"82704","LON"
1035593,"7576","LON"
1035596,"36774","LON"
1035597,"38699","LON"
1035634,"6561","LON"
1035638,"155257","LON"
1035672,"37083","LON"
1035812,"7558","LON"
1039904,"164991","LON"
1040371,"9227","LON"
1200714,"83150","LON"
1200929,"7545","LON"
1201107,"7546","LON"
1201633,"46622","LON"
1201635,"7540","LON"
1201714,"59579","LON"
1202213,"6550","LON"
1202216,"70989","LON"
1202217,"6639","LON"
1202220,"7566","LON"
1202224,"6616","LON"
1202225,"77690","LON"
1202226,"26120","LON"
1202222,"6554","LON"
1202221,"7568","LON"
1202218,"7560","LON"
1202219,"7549","LON"
1202223,"7563","LON"
1202954,"13901","LON"
1203423,"41285","LON"
1203470,"15170","LON"
1203949,"629949","LON"
1203975,"13891","LON"
1204155,"86184","LON"
1204638,"7556","LON"
1204735,"6646","LON"
1204737,"6564","LON"
1204739,"6650","LON"
1205154,"84242","LON"
1205222,"6635","LON"
1205453,"6608","LON"
1206124,"106713","LON"
1209717,"111645","LON"
1212519,"13893","LON"
1212520,"6605","LON"
1212547,"6627","LON"
1212548,"9225","LON"
1212549,"9221","LON"
1212581,"6640","LON"
1213121,"15101","LON"
1213551,"103836","LON"
1213654,"14994","LON"
1213755,"58082","LON"
1213831,"153296","LON"
1214532,"132728","LON"
1215085,"174434","LON"
1215629,"70989","LON"
1216012,"59582","LON"
1216087,"6650","LON"
1216997,"47956","LON"
1216999,"77690","LON"
1217194,"36763","LON"
1217516,"161166","LON"
1217902,"314263","LON"
1219580,"6655","LON"
1219842,"183194","LON"
1219900,"315432","LON"
1221247,"124005","LON"
1221517,"126260","LON"
1223527,"7578","LON"
1224131,"139527","LON"
1229493,"14352","LON"
1229639,"115212","LON"
1229999,"115366","LON"
1230198,"36758","LON"
1230370,"102553","LON"
1231371,"6638","LON"
1231761,"164990","LON"
1231808,"36759","LON"
1231380,"6619","LON"
1232377,"6617","LON"
1232380,"6619","LON"
1232470,"14004","LON"
1233079,"8899","LON"
1233279,"156620","LON"
1233470,"14990","LON"
1233278,"163382","LON"
1233987,"9472","LON"
1234084,"14990","LON"
1234483,"155257","LON"
1234486,"36759","LON"
1234082,"7558","LON"
1234083,"6610","LON"
1234485,"7542","LON"
1234484,"16297","LON"
1234684,"37130","LON"
1234685,"6561","LON"
1234686,"36758","LON"
1234687,"8900","LON"
1234750,"36774","LON"
1234753,"15774","LON"
1234755,"7580","LON"
1234756,"401438","LON"
1234761,"109693","LON"
1234762,"9515","LON"
1234754,"15894","LON"
1234751,"36763","LON"
1234758,"7556","LON"
1235027,"156620","LON"
1236271,"36769","LON"
1236300,"7576","LON"
1238452,"104337","LON"
1238731,"86184","LON"
1241742,"87528","LON"
1241744,"111855","LON"
1241745,"160781","LON"
1241753,"314263","LON"
1241739,"70242","LON"
1243601,"13900","LON"
1247998,"179390","LON"
1248092,"179402","LON"
1248111,"179409","LON"
1248134,"16217","LON"
1248162,"13889","LON"
1248163,"6647","LON"
1248207,"100616","LON"
1248209,"179314","LON"
1248225,"169079","LON"
1248232,"109734","LON"
1248243,"145542","LON"
1248248,"151733","LON"
1248249,"176686","LON"
1255002,"15777","LON"
1255004,"15775","LON"
1256884,"36761","LON"
1257270,"317035","LON"
1258028,"36764","LON"
1259107,"163382","LON"
1263630,"164990","LON"
1263632,"164991","LON"
1264412,"38760","LON"
1274239,"9228","LON"
1295521,"172420","LON"
1296835,"174466","LON"
1297331,"9472","LON"
1297324,"8899","LON"
1297930,"151733","LON"
1299310,"156955","LON"
1299370,"232159","LON"
1299489,"193433","LON"
1299511,"111645","LON"
1299886,"100616","LON"
1299971,"7567","LON"
1300346,"104275","LON"
1300364,"7567","LON"
1310384,"13897","LON"
1314008,"72399","LON"
1314086,"164992","LON"
1314239,"9515","LON"
1315111,"183898","LON"
1315563,"8903","LON"
1315566,"25860","LON"
1315569,"25861","LON"
1315582,"162475","LON"
1315710,"167507","LON"
1315712,"167506","LON"
1315715,"167508","LON"
1315907,"167509","LON"
1316257,"232920","LON"
1316259,"17411","LON"
1319666,"313827","LON"
1319973,"36707","LON"
1320369,"35317","LON"
1320499,"140717","LON"
1320512,"81853","LON"
1321037,"37083","LON"
1321454,"55093","LON"
1321473,"100047","LON"
1321493,"36760","LON"
1321619,"36766","LON"
1321750,"82669","LON"
1323420,"316925","LON"
1323421,"36765","LON"
1323424,"174553","LON"
1323425,"183898","LON"
1323662,"13895","LON"
1323942,"6646","LON"
1323943,"6650","LON"
1323817,"6569","LON"
1324247,"14091","LON"
1325184,"9015","LON"
1327047,"164992","LON"
1327043,"8899","LON"
1327055,"9472","LON"
1327300,"17397","LON"
1328002,"172419","LON"
1328003,"172420","LON"
1328082,"100616","LON"
1328129,"9244","LON"
1328150,"14986","LON"
1328151,"16061","LON"
1328152,"143393","LON"
1328206,"151634","LON"
1328307,"13897","LON"
1328159,"25861","LON"
1328267,"6558","LON"
1328130,"6616","LON"
1328132,"8899","LON"
1328131,"15895","LON"
1328357,"222260","LON"
1328386,"162374","LON"
1328536,"156620","LON"
1328618,"15155","LON"
1328625,"6561","LON"
1328629,"15775","LON"
1328630,"7560","LON"
1328632,"7568","LON"
1328633,"6560","LON"
1328638,"7549","LON"
1328641,"7580","LON"
1328644,"36769","LON"
1328654,"6638","LON"
1328656,"8903","LON"
1328657,"167509","LON"
1328660,"15777","LON"
1328661,"6548","LON"
1328665,"7546","LON"
1328666,"9474","LON"
1328668,"9016","LON"
1328669,"6628","LON"
1328670,"7541","LON"
1328674,"9476","LON"
1328609,"15126","LON"
1328645,"7545","LON"
1328611,"9131","LON"
1328634,"6639","LON"
1328649,"7573","LON"
1328662,"6617","LON"
1328612,"8907","LON"
1328639,"26120","LON"
1328671,"9221","LON"
1328624,"6609","LON"
1328631,"7566","LON"
1328478,"6564","LON"
1328613,"7603","LON"
1328628,"6573","LON"
1328626,"15894","LON"
1328673,"6608","LON"
1328667,"9225","LON"
1328637,"6550","LON"
1328663,"6619","LON"
1328646,"7556","LON"
1328640,"7558","LON"
1328621,"9472","LON"
1328655,"6556","LON"
1328614,"15142","LON"
1328642,"6610","LON"
1328675,"6627","LON"
1328658,"13896","LON"
1328643,"7542","LON"
1328685,"13901","LON"
1328757,"13885","LON"
1328774,"155257","LON"
1328787,"7567","LON"
1328808,"77690","LON"
1328829,"8901","LON"
1328910,"102239","LON"
1328930,"156955","LON"
1329005,"47956","LON"
1329021,"14990","LON"
1328717,"25682","LON"
1328688,"7555","LON"
1329024,"103836","LON"
1328907,"183898","LON"
1328719,"25860","LON"
1328686,"6641","LON"
1328691,"7561","LON"
1328694,"7565","LON"
1328697,"6615","LON"
1328863,"164992","LON"
1328687,"7564","LON"
1329023,"7578","LON"
1328770,"70989","LON"
1329013,"103993","LON"
1328782,"7563","LON"
1328695,"7544","LON"
1328696,"7550","LON"
1328679,"6547","LON"
1328689,"7551","LON"
1328693,"6557","LON"
1329400,"153304","LON"
1329404,"172420","LON"
1329856,"6647","LON"
1329883,"17415","LON"
1329889,"164412","LON"
1330395,"8901","LON"
1330539,"13896","LON"
1330643,"7546","LON"
1330657,"100015","LON"
1330660,"14835","LON"
1330664,"14993","LON"
1330676,"27179","LON"
1330677,"17670","LON"
1330679,"7572","LON"
1330681,"107677","LON"
1330730,"160781","LON"
1330736,"29247","LON"
1330738,"170177","LON"
1330651,"14994","LON"
1330666,"15147","LON"
1330668,"7578","LON"
1330763,"228589","LON"
1330914,"100023","LON"
1331010,"231084","LON"
1331077,"13885","LON"
1331141,"189477","LON"
1331092,"6647","LON"
1331400,"122041","LON"
1331509,"104275","LON"
1331666,"102554","LON"
1331668,"452601","LON"
1331925,"611781","LON"
1335831,"9022","LON"
1335832,"14017","LON"
1335833,"15166","LON"
1335994,"611781","LON"
1336123,"231084","LON"
1335888,"164991","LON"
1335963,"9020","LON"
1337170,"452601","LON"
1339615,"316236","LON"
1341190,"86531","LON"
1341224,"8898","LON"
1341243,"7541","LON"
1341191,"9474","LON"
1341229,"9221","LON"
1341181,"6627","LON"
1341227,"9016","LON"
1341228,"9225","LON"
1341577,"13895","LON"
1341458,"183194","LON"
1341459,"39920","LON"
1341574,"6589","LON"
1343664,"363929","LON"
1348855,"13889","LON"
1351491,"7557","LON"
1348870,"179390","LON"
1355490,"111645","LON"
1355753,"36707","LON"
1355889,"14352","LON"
1355691,"16234","LON"
1356193,"316121","LON"
1356551,"407649","LON"
1356666,"9228","LON"
1356764,"163498","LON"
1356779,"29247","LON"
1356780,"160781","LON"
1357150,"361665","LON"
1357287,"161365","LON"
1357647,"316121","LON"
1357852,"70242","LON"
1359556,"161367","LON"
1359557,"161368","LON"
1361721,"316121","LON"
1362215,"312099","LON"
1363039,"313685","LON"
1363378,"164990","LON"
1363178,"8898","LON"
1363929,"7567","LON"
1363446,"86531","LON"
1401800,"7573","LON"
1403011,"25682","LON"
1403610,"36764","LON"
1406981,"313685","LON"
1409111,"313685","LON"
1409140,"9015","LON"
1409294,"315129","LON"
1414339,"102554","LON"
1415832,"312034","LON"
1415642,"183898","LON"
1417753,"13889","LON"
1418911,"15155","LON"
1419836,"36761","LON"
1419884,"38760","LON"
1421067,"143390","LON"
1421068,"143394","LON"
1421069,"402697","LON"
1421070,"14106","LON"
1421071,"14982","LON"
1421072,"16076","LON"
1421073,"16077","LON"
1421074,"16072","LON"
1421075,"16057","LON"
1421076,"16063","LON"
1421078,"16079","LON"
1421079,"16065","LON"
1425484,"7580","LON"
1427923,"172419","LON"
1428019,"140407","LON"
1428080,"215288","LON"
1428722,"222260","LON"
1429428,"218358","LON"
1430933,"6560","LON"
1430937,"156620","LON"
1430942,"407649","LON"
1430943,"7560","LON"
1430944,"7549","LON"
1430946,"172420","LON"
1430947,"7568","LON"
1430951,"13897","LON"
1430955,"77690","LON"
1430956,"164990","LON"
1430960,"315129","LON"
1430966,"232159","LON"
1430967,"111645","LON"
1430940,"70989","LON"
1430935,"163382","LON"
1430954,"6616","LON"
1430945,"7566","LON"
1430957,"26120","LON"
1430961,"164991","LON"
1430952,"6554","LON"
1430941,"6639","LON"
1430949,"7573","LON"
1430958,"183194","LON"
1431440,"132728","LON"
1431702,"6622","LON"
1431739,"6556","LON"
1432109,"169011","LON"
1432228,"313233","LON"
1432336,"162374","LON"
1432254,"183898","LON"
1432775,"170177","LON"
1433035,"182130","LON"
1433036,"105294","LON"
1433820,"155259","LON"
1433052,"39920","LON"
1437709,"313626","LON"
1437669,"17311","LON"
1438459,"91394","LON"
1438566,"17414","LON"
1438579,"219393","LON"
1438591,"191437","LON"
1439382,"411219","LON"
1440175,"582721","LON"
1440675,"481142","LON"
1442070,"136945","LON"
1442253,"13895","LON"
1442390,"6558","LON"
1442297,"13896","LON"
1442542,"65169","LON"
1442813,"231084","LON"
1442814,"167509","LON"
1442815,"218358","LON"
1442816,"9015","LON"
1442818,"8903","LON"
1443032,"65169","LON"
1443033,"161166","LON"
1442817,"7540","LON"
1443236,"125417","LON"
1443261,"156249","LON"
1445894,"155310","LON"
1446682,"91659","LON"
1446690,"547198","LON"
1447332,"228570","LON"
1449448,"228570","LON"
1449772,"452601","LON"
1449774,"312099","LON"
1450324,"156249","LON"
1451262,"452601","LON"
1451263,"312099","LON"
1451917,"176686","LON"
1451945,"443581","LON"
1452271,"104275","LON"
1452272,"104275","LON"
1452274,"189477","LON"
1455175,"150531","LON"
1455537,"54174","LON"
1457538,"155310","LON"
1458461,"315924","LON"
1459144,"313388","LON"
1460275,"7570","LON"
1460277,"6653","LON"
1462116,"201957","LON"
1462703,"91659","LON"
1463609,"316062","LON"
1463796,"313861","LON"
1465700,"147634","LON"
1465792,"147634","LON"
1466323,"411219","LON"
1466350,"547198","LON"
1467350,"85077","LON"
1467351,"316236","LON"
1467354,"15101","LON"
1467353,"468722","LON"
1468462,"315269","LON"
1468398,"6553","LON"
1469790,"316819","LON"
1470029,"14917","LON"
1470033,"13891","LON"
1470034,"84356","LON"
1469918,"41285","LON"
1470147,"316819","LON"
1470355,"128787","LON"
1470384,"72399","LON"
1470354,"312099","LON"
1470356,"8947","LON"
1470630,"72399","LON"
1470741,"361665","LON"
1470582,"183898","LON"
1471224,"218454","LON"
1471550,"611781","LON"
1471650,"611781","LON"
1471792,"316819","LON"
1471860,"150525","LON"
1472338,"312863","LON"
1472342,"312863","LON"
1472650,"313626","LON"
1473471,"171406","LON"
1473772,"13885","LON"
1473872,"13885","LON"
1473917,"6645","LON"
1474102,"521061","LON"
1474166,"254169","LON"
1474299,"312863","LON"
1474300,"312863","LON"
1474581,"540421","LON"
1474654,"521061","LON"
1475622,"222260","LON"
1475889,"316624","LON"
1475893,"315996","LON"
1475911,"541362","LON"
1476151,"373304","LON"
1476152,"316488","LON"
1476156,"312737","LON"
1476157,"373303","LON"
1476255,"313388","LON"
1476368,"102045","LON"
1476369,"94500","LON"
1476372,"94501","LON"
1476442,"558103","LON"
1476658,"122358","LON"
1479315,"314367","LON"
1479669,"313388","LON"
1479995,"315651","LON"
1480366,"556927","LON"
1482835,"7574","LON"
1483233,"8898","LON"
1483239,"86531","LON"
1483229,"9221","LON"
1483231,"6628","LON"
1483232,"6627","LON"
1483228,"9225","LON"
1483230,"9474","LON"
1483236,"9476","LON"
1483238,"9016","LON"
1483431,"316121","LON"
1483574,"541384","LON"
1483621,"313572","LON"
1483916,"585561","LON"
1484669,"316236","LON"
1484847,"585426","LON"
1484851,"598981","LON"
1484857,"585425","LON"
1484858,"174466","LON"
1484859,"585436","LON"
1484860,"403060","LON"
1484861,"14836","LON"
1484863,"18223","LON"
1485831,"6608","LON"
1486230,"559823","LON"
1486676,"613143","LON"
1486885,"13885","LON"
1487124,"315401","LON"
1487328,"313103","LON"
1487351,"313103","LON"
1488397,"6557","LON"
1488398,"6615","LON"
1488399,"6573","LON"
1488400,"6641","LON"
1488401,"6547","LON"
1488402,"7544","LON"
1488403,"7564","LON"
1488406,"7561","LON"
1488407,"6636","LON"
1488409,"7550","LON"
1488513,"6557","LON"
1488516,"6615","LON"
1488519,"6573","LON"
1488522,"6641","LON"
1488525,"6547","LON"
1488528,"7544","LON"
1488531,"7564","LON"
1488540,"7561","LON"
1488543,"6636","LON"
1488550,"7550","LON"
1489317,"559823","LON"
1489867,"6557","LON"
1489868,"6615","LON"
1489869,"6573","LON"
1489870,"6641","LON"
1489871,"6547","LON"
1489872,"7544","LON"
1489873,"7564","LON"
1489876,"7561","LON"
1489877,"6636","LON"
1489879,"7550","LON"
1490261,"140407","LON"
1490799,"7543","LON"
1490862,"613143","LON"
1491730,"591612","LON"
1491781,"591612","LON"
1491914,"6612","LON"
1492244,"6557","LON"
1492297,"556927","LON"
1492409,"183898","LON"
1493123,"156955","LON"
1493125,"191437","LON"
1493127,"6635","LON"
1493139,"6655","LON"
1493140,"9472","LON"
1493173,"574461","LON"
1493257,"6641","LON"
1493258,"6615","LON"
1493259,"6553","LON"
1493260,"107908","LON"
1493262,"14170","LON"
1493263,"6565","LON"
1493264,"6612","LON"
1493265,"13891","LON"
1493266,"6547","LON"
1493268,"6640","LON"
1493269,"25861","LON"
1493385,"316092","LON"
1493386,"316961","LON"
1493510,"316092","LON"
1493514,"316961","LON"
1493671,"585198","LON"
1493681,"585198","LON"
1494561,"102553","LON"
1494564,"106713","LON"
1494569,"13901","LON"
1494587,"6573","LON"
1494589,"6636","LON"
1494594,"7544","LON"
1494598,"7570","LON"
1494772,"9474","LON"
1495011,"550868","LON"
1494948,"179390","LON"
1495275,"179402","LON"
1495277,"179409","LON"
1495284,"492381","LON"
1495813,"575942","LON"
1495821,"93032","LON"
1495823,"124005","LON"
1495829,"82704","LON"
1495838,"161368","LON"
1495850,"164966","LON"
1495852,"151733","LON"
1495860,"109734","LON"
1495874,"179314","LON"
1495876,"100616","LON"
1495895,"6647","LON"
1495919,"16217","LON"
1495921,"13889","LON"
1495928,"169079","LON"
1495932,"145542","LON"
1495933,"176686","LON"
1495939,"161365","LON"
1495956,"6569","LON"
1495965,"313233","LON"
1495948,"604562","LON"
1496417,"316488","LON"
1496452,"161368","LON"
1496522,"164990","LON"
1496510,"6628","LON"
1496445,"9476","LON"
1496590,"312863","LON"
1496592,"373304","LON"
1496593,"312737","LON"
1496837,"14080","LON"
1496838,"103835","LON"
1496849,"313901","LON"
1496870,"110557","LON"
1496876,"180050","LON"
1497090,"613142","LON"
1496976,"7541","LON"
1497034,"9474","LON"
1497281,"635201","LON"
1497282,"635201","LON"
1497308,"574461","LON"
1497315,"574881","LON"
1497443,"13891","LON"
1497503,"109372","LON"
1497599,"161875","LON"
1497602,"623399","LON"
1497866,"641911","LON"
